R	3.1653	1.5459	0.7676	1477010443400000	-0.0220	3.0991	-0.1097	0.9940
R	3.3269	1.6329	1.3933	1477010444200000	-0.2143	3.8735	-0.3535	0.9354
R	4.6822	1.6921	1.1327	1477010445000000	-0.5932	4.5757	-0.5750	0.8181
R	5.4041	1.7229	1.1531	1477010445800000	-1.1348	5.1616	-0.7604	0.6494
R	5.7481	1.8881	1.0740	1477010446600000	-1.8051	5.5945	-0.8980	0.4399
R	6.3833	2.0279	0.9938	1477010447400000	-2.5620	5.8470	-0.9792	0.2028
R	6.8568	2.0561	0.7589	1477010448200000	-3.3579	5.9033	-0.9989	-0.0471
R	7.3230	2.2237	0.5680	1477010449000000	-4.1429	5.7600	-0.9558	-0.2940
R	6.7240	2.2839	0.5011	1477010449800000	-4.8675	5.4259	-0.8526	-0.5225
R	7.2867	2.4299	0.1646	1477010450600000	-5.4863	4.9222	-0.6959	-0.7181
R	7.3598	2.4750	0.1979	1477010451400000	-5.9603	4.2804	-0.4955	-0.8686
R	6.5819	2.6531	-0.2168	1477010452200000	-6.2599	3.5408	-0.2639	-0.9646
R	6.7216	2.7202	-0.4298	1477010453000000	-6.3661	2.7500	-0.0157	-0.9999
R	6.4381	2.8677	-1.3732	1477010453800000	-6.2723	1.9576	0.2334	-0.9724
R	5.8804	2.9328	-0.5851	1477010454600000	-5.9844	1.2135	0.4679	-0.8838
R	5.5745	3.0695	-0.7138	1477010455400000	-5.5205	0.5643	0.6730	-0.7396
R	5.1322	3.1067	-0.6127	1477010456200000	-4.9097	0.0509	0.8358	-0.5490
R	4.4604	-3.0586	-0.9174	1477010457000000	-4.1904	-0.2945	0.9461	-0.3239
R	3.1309	-3.0250	-1.0913	1477010457800000	-3.4079	-0.4502	0.9969	-0.0785
R	3.1965	-2.9885	-0.5786	1477010458600000	-2.6112	-0.4063	0.9851	0.1719
R	2.3949	-3.0758	-0.5587	1477010459400000	-1.8504	-0.1657	0.9114	0.4115
R	0.7670	2.9285	-0.7676	1477010460200000	-1.1734	0.2565	0.7804	0.6252
R	0.9231	2.1895	-0.0974	1477010461000000	-0.6226	0.8338	0.6004	0.7997
R	1.6710	1.6838	0.5455	1477010461800000	-0.2327	1.5300	0.3827	0.9239
R	2.8241	1.5034	0.6427	1477010462600000	-0.0282	2.3013	0.1409	0.9900
R	3.5184	1.5815	1.3798	1477010463400000	0.0110	3.0997	0.0785	0.9969
R	3.8889	1.5555	0.7290	1477010464200000	0.1789	3.8797	0.3240	0.9461
R	4.2936	1.4957	0.9222	1477010465000000	0.5356	4.5934	0.5491	0.8358
R	5.1957	1.3618	1.1686	1477010465800000	1.0585	5.1961	0.7397	0.6730
R	5.9885	1.2745	0.4266	1477010466600000	1.7149	5.6497	0.8838	0.4679
R	6.1387	1.1255	0.4655	1477010467400000	2.4635	5.9259	0.9724	0.2334
R	6.7114	1.0592	0.2471	1477010468200000	3.2572	6.0072	0.9999	-0.0157
R	7.1372	0.9821	0.4552	1477010469000000	4.0463	5.8886	0.9646	-0.2639
R	7.0323	0.8565	0.3804	1477010469800000	4.7810	5.5775	0.8686	-0.4955
R	8.0980	0.7194	-0.0625	1477010470600000	5.4153	5.0934	0.7181	-0.6959
R	7.6039	0.6008	-0.6663	1477010471400000	5.9093	4.4668	0.5225	-0.8527
R	7.6476	0.5254	-0.0512	1477010472200000	6.2319	3.7370	0.2940	-0.9558
R	7.6967	0.4754	-0.6525	1477010473000000	6.3629	2.9500	0.0471	-0.9989
R	7.0809	0.2818	-1.0046	1477010473800000	6.2941	2.1550	-0.2028	-0.9792
R	5.9635	0.1849	-0.9482	1477010474600000	6.0297	1.4022	-0.4400	-0.8980
R	5.5728	0.0833	-0.8696	1477010475400000	5.5864	0.7388	-0.6495	-0.7604
R	4.6469	0.0369	-1.0817	1477010476200000	4.9920	0.2064	-0.8182	-0.5750
R	4.6976	-0.0032	-0.7121	1477010477000000	4.2840	-0.1614	-0.9354	-0.3535
R	3.2338	-0.1366	-0.8363	1477010477800000	3.5067	-0.3416	-0.9940	-0.1097
R	2.5870	-0.1931	-1.5292	1477010478600000	2.7090	-0.3228	-0.9900	0.1409
R	2.2038	-0.0852	-1.1614	1477010479400000	1.9410	-0.1062	-0.9239	0.3827
R	1.5743	0.2387	-0.5531	1477010480200000	1.2511	0.2946	-0.7997	0.6004
R	0.9082	0.9390	0.1441	1477010481000000	0.6825	0.8543	-0.6252	0.7804
R	1.3773	1.4328	1.4138	1477010481800000	0.2709	1.5379	-0.4115	0.9114
R	2.5069	1.5184	0.7988	1477010482600000	0.0423	2.3024	-0.1719	0.9851
